song,artist
Three,Future
Say You Won't Let Go,James Arthur
No Promises,Cheat Codes
Small Town Boy,Dustin Lynch
Curve,Gucci Mane
Feels,Calvin Harris
Stunting Ain't Nuthin,Gucci Mane
They Don't Know,Jason Aldean
Do I Make You Wanna,Billy Currington
Almost Like Praying,Lin-Manuel Miranda
Loyalty.,Kendrick Lamar
Dear Hate,Maren Morris
No Promises,A Boogie Wit da Hoodie
Say A',A Boogie Wit da Hoodie
DNA,BTS
Redbone,Childish Gambino
Hi Bich,Bhad Bhabie
Undefeated,A Boogie Wit da Hoodie
Beast Mode,A Boogie Wit da Hoodie
It Ain't My Fault,Brothers Osborne
No Such Thing As A Broken Heart,Old Dominion
Whatever You Need,Meek Mill
I'm The One,DJ Khaled
Stay,Zedd
Felices Los 4,Maluma
Back To You,Louis Tomlinson
Fetish,Selena Gomez
Wish I Knew You,The Revivalists
Mask Off,Future
Homemade Dynamite,Lorde
Drinkin' Problem,Midland
These Heaux,Bhad Bhabie
No Complaints,Metro Boomin
Magnolia,Playboi Carti
Found You,Kane Brown
Versace On The Floor,Bruno Mars
Swish Swish,Katy Perry
444+222,Lil Uzi Vert
My Girl,Dylan Scott
Most Girls,Hailee Steinfeld
Dark Queen,Lil Uzi Vert
X,Lil Uzi Vert
Neon Guts,Lil Uzi Vert
Revenge,XXXTENTACION
Somebody Else Will,Justin Moore
Reminder,The Weeknd
No Fear,DeJ Loaf
It Ain't Me,Kygo
DNA.,Kendrick Lamar
Two,Lil Uzi Vert
For Real,Lil Uzi Vert
UnFazed,Lil Uzi Vert
No Sleep Leak,Lil Uzi Vert
Depression & Obsession,XXXTENTACION
Save Me,XXXTENTACION
Carry On,XXXTENTACION
Down,Fifth Harmony
Now Or Never,Halsey
Everyday We Lit,YFN Lucci
Drowning,A Boogie Wit da Hoodie
Castle On The Hill,Ed Sheeran
You Look Good,Lady Antebellum
2U,David Guetta
Younger Now,Miley Cyrus
Its Every Night Sis,RiceGum
Honest,The Chainsmokers
Flatliner,Cole Swindell
Perplexing Pegasus,Rae Sremmurd
For Her,Chris Lane
Patty Cake,Kodak Black
4:00 AM,2 Chainz
Untouchable,YoungBoy Never Broke Again
Privacy,Chris Brown
Know No Better,Major Lazer
In Case You Didn't Know,Brett Young
Slippery,Migos
Craving You,Thomas Rhett
Malibu,Miley Cyrus
Bad Liar,Selena Gomez
First Day Out,Tee Grizzley
Something New,Wiz Khalifa
It's Goin' Down,Descendants 2 Cast
El Amante,Nicky Jam
Wokeuplikethis*,Playboi Carti
Issues,Julia Michaels
OMG,Camila Cabello
What's My Name,China Anne McClain
You Da Baddest,Future
Chillin' Like A Villain,Sofia Carson
Rolex,Ayo
Passionfruit,Drake
Swalla,Jason Derulo
Subeme La Radio,Enrique Iglesias
"God, Your Mama, And Me",Florida Georgia Line
Heavy,Linkin Park
Learn To Let Go,Kesha
Signs,Drake
Numb,Linkin Park
In The End,Linkin Park
Closer,The Chainsmokers
The Fighter,Keith Urban
Issues,Meek Mill
Wins & Losses,Meek Mill
1942 Flows,Meek Mill
Yours If You Want It,Rascal Flatts
Imitadora,Romeo Santos
The Story Of O.J.,JAY-Z
We Ball,Meek Mill
F**k That Check Up,Meek Mill
Heavy Heart,Meek Mill
Bad And Boujee,Migos
iSpy,KYLE
24K Magic,Bruno Mars
4:44,JAY-Z
Crying In The Club,Camila Cabello
A Lie,French Montana
Every Time I Hear That Song,Blake Shelton
Jerika,Jake Paul
The Cure,Lady Gaga
Weak,AJR
Woman,Kesha
Rollin,Calvin Harris
Element.,Kendrick Lamar
Slide,Calvin Harris
Bam,JAY-Z
Hurricane,Luke Combs
Family Feud,JAY-Z
Kill Jay Z,JAY-Z
Smile,JAY-Z
Caught Their Eyes,JAY-Z
Moonlight,JAY-Z
Marcy Me,JAY-Z
Get Low,Zedd
Famous,21 Savage
T-Shirt,Migos
Tunnel Vision,Kodak Black
Sign Of The Times,Harry Styles
Who Dat Boy,Tyler The Creator
Portland,Drake
Losin Control,Russ
Extra Luv,Future
How Not To,Dan + Shay
Don't Quit,DJ Khaled
To The Max,DJ Khaled
If I Told You,Darius Rucker
On Everything,DJ Khaled
Cold,Maroon 5
Good Drank,2 Chainz
Shining,DJ Khaled
Scars To Your Beautiful,Alessia Cara
Look At Me!,XXXTENTACION
First Day Out,Kodak Black
My Old Man,Zac Brown Band
Nobody Else But You,Trey Songz
Real Hitta,Plies
Swang,Rae Sremmurd
Bon Appetit,Katy Perry
Black,Dierks Bentley
Hometown Girl,Josh Turner
Gyalchester,Drake
Rockabye,Clean Bandit
Peek A Boo,Lil Yachty
Met Gala,Gucci Mane
Scared To Be Lonely,Martin Garrix
Human,Rag'n'Bone Man
Paris,The Chainsmokers
Somethin Tells Me,Bryson Tiller
Me Enamore,Shakira
Self-Made,Bryson Tiller
Don't Get Too High,Bryson Tiller
Run Me Dry,Bryson Tiller
There For You,Martin Garrix
No Longer Friends,Bryson Tiller
Strangers,Halsey
Deja Vu,Lauren Duski
Money On You,Chris Blue
Chained To The Rhythm,Katy Perry
At My Best,Machine Gun Kelly
The Dance,Lauren Duski
Boy,Lee Brice
Either Way,Chris Stapleton
Any Ol' Barstool,Jason Aldean
Love On The Brain,Rihanna
Both,Gucci Mane
I Feel It Coming,The Weeknd
I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift
Bounce Back,Big Sean
The Weekend,Brantley Gilbert
Prblms,6LACK
Yeah Boy,Kelsea Ballerini
Good Life,G-Eazy
Cake,Flo Rida
Ghost In This House,Lauren Duski
Everybody,Logic
The Night We Met,Lord Huron
Galway Girl,Ed Sheeran
Moves,Big Sean
Down,Marian Hill
Can't Stop The Feeling!,Justin Timberlake
First Time,Kygo
XXX.,Kendrick Lamar
Party,Chris Brown
Yah.,Kendrick Lamar
Sweet Creature,Harry Styles
Selfish,Future
Call On Me,Starley
You're Welcome,Dwayne Johnson
Mercy,Shawn Mendes
Lust For Life,Lana Del Rey
Feel.,Kendrick Lamar
Pride.,Kendrick Lamar
Lust.,Kendrick Lamar
Still Got Time,Zayn
Green Light,Lorde
How Far I'll Go,Auli'i Cravalho
Hard Times,Paramore
Fear.,Kendrick Lamar
No Frauds,Nicki Minaj
God.,Kendrick Lamar
Deja Vu,J. Cole
Blood.,Kendrick Lamar
Dirt On My Boots,Jon Pardi
Duckworth.,Kendrick Lamar
Fast,Luke Bryan
Black SpiderMan,Logic
Fake Love,Drake
Starboy,The Weeknd
Don't Wanna Know,Maroon 5
Play That Song,Train
Free Smoke,Drake
Road Less Traveled,Lauren Alaina
The One,The Chainsmokers
Draco,Future
Blem,Drake
Think A Little Less,Michael Ray
Teenage Fever,Drake
Bar At The End Of The World,Kenny Chesney
How Far I'll Go,Alessia Cara
Million Reasons,Lady Gaga
Water Under The Bridge,Adele
Bad Things,Machine Gun Kelly
Speak To A Girl,Tim McGraw
Tin Man,Miranda Lambert
The Heart Part 4,Kendrick Lamar
Sacrifices,Drake
Conscience,Kodak Black
Heatstroke,Calvin Harris
Get It Together,Drake
No Long Talk,Drake
KMT,Drake
4422,Drake
Jorja Interlude,Drake
Madiba Riddim,Drake
Ice Melts,Drake
Do Not Disturb,Drake
Glow,Drake
Everyday,Ariana Grande
Can't Have Everything,Drake
Party Monster,The Weeknd
Nothings Into Somethings,Drake
Let Me Love You,DJ Snake
Lose You,Drake
Since Way Back,Drake
Make Me (Cry),Noah Cyrus
Skepta Interlude,Drake
Kill A Word,Eric Church
Trap Trap Trap,Rick Ross
Black Beatles,Rae Sremmurd
Heathens,twenty one pilots
Caroline,Amine
Regret In Your Tears,Nicki Minaj
Better Man,Little Big Town
Changed It,Nicki Minaj
Chanel,Frank Ocean
Liability,Lorde
I Got You,Bebe Rexha
Dive,Ed Sheeran
Sober Saturday Night,Chris Young
Today,Brad Paisley
Selfish,PnB Rock
Happier,Ed Sheeran
Comin Out Strong,Future
Chantaje,Shakira
All Time Low,Jon Bellion
Side To Side,Ariana Grande
New Man,Ed Sheeran
Supermarket Flowers,Ed Sheeran
What Do I Know?,Ed Sheeran
How Would You Feel (Paean),Ed Sheeran
Eraser,Ed Sheeran
Used To This,Future
Hearts Don't Break Around Here,Ed Sheeran
Barcelona,Ed Sheeran
Star Of The Show,Thomas Rhett
A Guy With A Girl,Blake Shelton
Treat You Better,Shawn Mendes
Cash Me Outside (#CashMeOutside),DJ Suede The Remix God
Love,Lana Del Rey
No Heart,21 Savage
Make Love,Gucci Mane
Love Me Now,John Legend
Not Nice,PARTYNEXTDOOR
Broccoli,D.R.A.M.
This Town,Niall Horan
Rent Money,Future
Guys My Age,Hey Violet
Seein' Red,Dustin Lynch
Super Trapper,Future
Dancing On My Own,Calum Scott
No Favors,Big Sean
Zoom,Future
Starving,Hailee Steinfeld
Juju On That Beat (TZ Anthem),Zay Hilfigerrr
Bom Bidi Bom,Nick Jonas
Helium,Sia
Heroe Favorito,Romeo Santos
Way Down We Go,KALEO
Everything 1K,Kodak Black
Wanna Be That Song,Brett Eldredge
Sex With Me,Rihanna
Some Kind Of Drug,G-Eazy
Cheap Thrills,Sia
Don't Let Me Down,The Chainsmokers
The Greatest,Sia
Bad Romance,Lady Gaga
HandClap,Fitz And The Tantrums
Sacrifices,Big Sean
Halfway Off The Balcony,Big Sean
Jump Out The Window,Big Sean
Owe Me,Big Sean
Beauty And The Beast,Ariana Grande
I Don't,Mariah Carey
80s Mercedes,Maren Morris
Now & Later,Sage The Gemini
OTW,DJ Luke Nasty
Light,Big Sean
Kelly Price,Migos
Blue Ain't Your Color,Keith Urban
X,21 Savage
Call Casting,Migos
Run Up,Major Lazer
I'm Better,Missy Elliott
Get Right Witcha,Migos
If The Boot Fits,Granger Smith
Dirty Laundry,Carrie Underwood
Fresh Eyes,Andy Grammer
Culture,Migos
Chill Bill,Rob $tone
Cold Water,Major Lazer
Love On The Weekend,John Mayer
Sneakin',Drake
Song For Another Time,Old Dominion
Say It,Flume
Water,Ugly God
Running Back,Wale
You Was Right,Lil Uzi Vert
In The Name Of Love,Martin Garrix
Not Afraid Anymore,Halsey
Red Opps,21 Savage
Neighbors,J. Cole
Timeless,A Boogie Wit da Hoodie
Parachute,Chris Stapleton
All We Know,The Chainsmokers
Just Hold On,Steve Aoki
Beibs In The Trap,Travis Scott
My Sh*t,A Boogie Wit da Hoodie
OOOUUU,Young M.A
I Hate U I Love U,gnash
May We All,Florida Georgia Line
Sleep Without You,Brett Young
Drinkin' Too Much,Sam Hunt
Immortal,J. Cole
What They Want,Russ
Unsteady,X Ambassadors
Too Much Sauce,DJ ESCO
How I'll Always Be,Tim McGraw
Hallelujah,Pentatonix
Shaky Shaky,Daddy Yankee
Key To The Streets,YFN Lucci
We Know The Way,Opetaia Foa'i
Careless Whisper,Wham!
Faith,George Michael
Pick Up The Phone,Young Thug And Travis Scott
No Flockin,Kodak Black
Black Barbies,Nicki Minaj
Hate U Love U,Olivia O'Brien
"Mary, Did You Know?",Pentatonix
Do You Mind,DJ Khaled
1 Night,Lil Yachty
Change,J. Cole
She's Mine Pt. 1,J. Cole
Ville Mentality,J. Cole
For Whom The Bell Tolls,J. Cole
Six Feet Under,The Weeknd
Sidewalks,The Weeknd
Foldin Clothes,J. Cole
4 Your Eyez Only,J. Cole
She's Mine Pt. 2,J. Cole
False Prophets,J. Cole
Everybody Dies,J. Cole
Come And See Me,PARTYNEXTDOOR
Darlin' Don't Go,Sundance Head
Deja Vu,Post Malone
At Last,Sundance Head
Setting The World On Fire,Kenny Chesney
Die For You,The Weeknd
This Is What You Came For,Calvin Harris
Ride,twenty one pilots
Needed Me,Rihanna
One Dance,Drake
Tiimmy Turner,Desiigner
Secrets,The Weeknd
Me And Your Mama,Childish Gambino
Home,gnash
True Colors,The Weeknd
Middle Of A Memory,Cole Swindell
Rockin',The Weeknd
All I Know,The Weeknd
That's My Girl,Fifth Harmony
False Alarm,The Weeknd
Attention,The Weeknd
Ordinary Life,The Weeknd
Stargirl Interlude,The Weeknd
Nothing Without You,The Weeknd
A Lonely Night,The Weeknd
Love To Lay,The Weeknd
Distraction,Kehlani
A Little More Summertime,Jason Aldean
Look Alive,Rae Sremmurd
Fade,Kanye West
Capsize,Frenship
Gold,Kiiara
Sucker For Pain,Lil Wayne
Panda,Desiigner
Luv,Tory Lanez
My Way,Calvin Harris
Ain't My Fault,Zara Larsson
Move,Luke Bryan
Slumber Party,Britney Spears
Vice,Miranda Lambert
Litty,Meek Mill
PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO
Greenlight,Pitbull
Infinite,Eminem
Send My Love (To Your New Lover),Adele
No Problem,Chance The Rapper
Too Good,Drake
We Don't Talk Anymore,Charlie Puth
Hallelujah,Leonard Cohen
We The People....,A Tribe Called Quest
Setting Fires,The Chainsmokers
It Don't Hurt Like It Used To,Billy Currington
Shout Out To My Ex,Little Mix
Wishing,DJ Drama
"Sit Still, Look Pretty",Daya
Money Longer,Lil Uzi Vert
No Limit,Usher
I Know Somebody,LOCASH
All Eyez,The Game
"Wat U Mean (Aye, Aye, Aye)",Dae Dae
Hold Up,Beyonce
Gangsta,Kehlani
Hymn For The Weekend,Coldplay
Froze,Meek Mill
Offended,Meek Mill
"Two Birds, One Stone",Drake
On The Regular,Meek Mill
The Difference,Meek Mill
Blue Notes,Meek Mill
Blessed Up,Meek Mill
Cool Girl,Tove Lo
Into You,Ariana Grande
Controlla,Drake
A-YO,Lady Gaga
Perfect Illusion,Lady Gaga
This Girl,Kungs vs Cookin' On 3 Burners
Why You Always Hatin?,YG
CRZY,Kehlani
Lockjaw,French Montana
You & Me,Marc E. Bassy
For Free,DJ Khaled
Work From Home,Fifth Harmony
Blow Your Mind (Mwah),Dua Lipa
Different For Girls,Dierks Bentley
THat Part,ScHoolboy Q
All In My Head (Flex),Fifth Harmony
Rock On,Tucker Beathard
I Met A Girl,William Michael Morgan
I Got The Keys,DJ Khaled
Just Like Fire,P!nk
Father Stretch My Hands Pt. 1,Kanye West
You Don't Own Me,Grace
Peter Pan,Kelsea Ballerini
Kids,OneRepublic
Forever Country,Artists Of Then
Cranes In The Sky,Solange
Low Life,Future
Make You Miss Me,Sam Hunt
Don't Touch My Hair,Solange
LIFTED,CL
Work,Rihanna
I Took A Pill In Ibiza,Mike Posner
Never Be Like You,Flume
H.O.L.Y.,Florida Georgia Line
Mama Said,Lukas Graham
Me Too,Meghan Trainor
Purple Lamborghini,Skrillex
With You Tonight / Hasta El Amanecer,Nicky Jam
You Look Like I Need A Drink,Justin Moore
No Shopping,French Montana
7 Years,Lukas Graham
Cancer,twenty one pilots
My PYT,Wale
Grass Ain't Greener,Chris Brown
Stressed Out,twenty one pilots
Don't Mind,Kent Jones
Rise,Katy Perry
Make Me...,Britney Spears
She's Got A Way With Words,Blake Shelton
Childs Play,Drake
American Country Love Song,Jake Owen
Sorry,Beyonce
From The Ground Up,Dan + Shay
Kill Em With Kindness,Selena Gomez
Famous,Kanye West
Cake By The Ocean,DNCE
Wicked,Future
Wyclef Jean,Young Thug
Record Year,Eric Church
Duele El Corazon,Enrique Iglesias
Church Bells,Carrie Underwood
Love Yourself,Justin Bieber
Nikes,Frank Ocean
Ivy,Frank Ocean
Pink + White,Frank Ocean
Solo,Frank Ocean
Nights,Frank Ocean
Uber Everywhere,MadeinTYO
Hit Or Miss,Jacob Sartorius
Fix,Chris Lane
Toothbrush,DNCE
Pop Style,Drake
Lights Come On,Jason Aldean
Castaway,Zac Brown Band
No Money,Galantis
Wasted Time,Keith Urban
Let It Go,James Bay
Sorry,Justin Bieber
Head Over Boots,Jon Pardi
Bohemian Rhapsody,Panic! At The Disco
All The Way Up,Fat Joe
Close,Nick Jonas
Wake Up,Fetty Wap
"Huntin', Fishin' & Lovin' Every Day",Luke Bryan
My House,Flo Rida
Dangerous Woman,Ariana Grande
Lush Life,Zara Larsson
Holy Key,DJ Khaled
Brand New,Ben Rector
Wherever I Go,OneRepublic
Back On Road,Gucci Mane
P**** Print,Gucci Mane
Light It Up,Major Lazer
Lost Boy,Ruth B
Never Forget You,Zara Larsson
Girls Talk Boys,5 Seconds Of Summer
Body Say,Demi Lovato
No,Meghan Trainor
M.I.L.F. $,Fergie
Night's On Fire,David Nail
Ophelia,The Lumineers
Body,Dreezy
Pillowtalk,Zayn
"Me, Myself & I",G-Eazy
T-Shirt,Thomas Rhett
Love Make The World Go Round,Jennifer Lopez
Noise,Kenny Chesney
Came Here To Forget,Blake Shelton
Bored To Death,Blink-182
La Bicicleta,Carlos Vives
Cut It,O.T. Genasis
Oui,Jeremih
Wild Things,Alessia Cara
The Sound Of Silence,Disturbed
Messin' Around,Pitbull
Still Here,Drake
Hype,Drake
Flexicution,Logic
Really Really,Kevin Gates
Think Of You,Chris Young Duet
Grammys,Drake
Try Everything,Shakira
Champions,Kanye West
Dark Necessities,Red Hot Chili Peppers
2 Phones,Kevin Gates
Humble And Kind,Tim McGraw
What The World Needs Now Is Love,Broadway For Orlando
Ain't No Stopping Us Now,Kane Brown
Kiss It Better,Rihanna
Exchange,Bryson Tiller
Somewhere On A Beach,Dierks Bentley
Sweatshirt,Jacob Sartorius
With You,Drake
Might Not,Belly
Faded,Alan Walker
Middle,DJ Snake
My Church,Maren Morris
Snapback,Old Dominion
Nothing Is Promised,Mike WiLL Made-It
Mind Reader,Dustin Lynch
Formation,Beyonce
Feel No Ways,Drake
Law,Yo Gotti
Piece By Piece,Kelly Clarkson
Moolah,Young Greatness
Youth,Troye Sivan
My Boo,Ghost Town DJ's
If It Ain't Love,Jason Derulo
9,Drake
One Call Away,Charlie Puth
Lonesome Broken And Blue,Adam Wakefield
U With Me?,Drake
Fire & Desire,Drake
Every Breath You Take,Hannah Huston
Redemption,Drake
Down That Road,Alisan Porter
Stitches,Shawn Mendes
Roses,The Chainsmokers
Don't,Bryson Tiller
Weston Road Flows,Drake
Keep The Family Close,Drake
Faithful,Drake
Blessings,Chance The Rapper
I'm Sorry,Adam Wakefield
Promise,Kid Ink
Go Ahead And Break My Heart,Blake Shelton
Ain't Your Mama,Jennifer Lopez
6 Inch,Beyonce
I Like The Sound Of That,Rascal Flatts
Confession,Florida Georgia Line
Team,Iggy Azalea
Don't Hurt Yourself,Beyonce
All Night,Beyonce
Freedom,Beyonce
Daddy Lessons,Beyonce
Pray You Catch Me,Beyonce
Sandcastles,Beyonce
Love Drought,Beyonce
True Colors,Zedd
Views,Drake
Summer Sixteen,Drake
Purple Rain,Prince And The Revolution
When Doves Cry,Prince
Little Red Corvette,Prince
Kiss,Prince And The Revolution
Let's Go Crazy,Prince And The Revolution
1999,Prince
Raspberry Beret,Prince And The Revolution
I Would Die 4 U,Prince And The Revolution
Jumpman,Drake
Forward,Beyonce
Back To Sleep,Chris Brown
You Should Be Here,Cole Swindell
New Level,A$AP Ferg
Company,Justin Bieber
Acquainted,The Weeknd
That Don't Sound Like You,Lee Brice
Hands To Myself,Selena Gomez
Hello,Adele
Down In The DM,Yo Gotti
The Hills,The Weeknd
New Romantics,Taylor Swift
Drunk On Your Love,Brett Eldredge
Saved,Ty Dolla $ign
Little Bit Of You,Chase Bryant
Might Be,DJ Luke Nasty
Pt. 2,Kanye West
Jimmy Choo,Fetty Wap
Let Me Love You,Ariana Grande
Fast Car,Jonas Blue
Die A Happy Man,Thomas Rhett
Nobody To Blame,Chris Stapleton
Waves,Kanye West
Sugar,Robin Schulz
Ultralight Beam,Kanye West
Victorious,Panic! At The Disco
Hotline Bling,Drake
When We Were Young,Adele
Best Friend,Young Thug
FML,Kanye West
Tennessee Whiskey,Chris Stapleton
Real Friends,Kanye West
Beautiful Drug,Zac Brown Band
Heartbeat,Carrie Underwood
Feedback,Kanye West
679,Fetty Wap
What Do You Mean?,Justin Bieber
Say It,Tory Lanez
Like I'm Gonna Lose You,Meghan Trainor
White Iverson,Post Malone
Like I Would,Zayn
Stand By You,Rachel Platten
I Know What You Did Last Summer,Shawn Mendes
With Them,Young Thug
Home Alone Tonight,Luke Bryan
Digits,Young Thug
Something In The Way You Move,Ellie Goulding
Make Me Like You,Gwen Stefani
Be Alright,Ariana Grande
Hide Away,Daya
Here,Alessia Cara
Same Old Love,Selena Gomez
Ex's & Oh's,Elle King
In The Night,The Weeknd
Adventure Of A Lifetime,Coldplay
Backroad Song,Granger Smith
Something New,Zendaya
Sorry Not Sorry,Bryson Tiller
Can't Feel My Face,The Weeknd
We Went,Randy Houser
Break On Me.,Keith Urban
Untitled 02 l 06.23.2014.,Kendrick Lamar
Untitled 07 l Levitate,Kendrick Lamar
Watch Out,2 Chainz
Get Ugly,Jason Derulo
Gotta Lotta,2 Chainz
Antidote,Travis Scott
Lean On,Major Lazer
See You Again,Wiz Khalifa
It's You,Zayn
Hello Friday,Flo Rida
Perfect,One Direction
$ave Dat Money,Lil Dicky
Til It Happens To You,Lady Gaga
Walking On A Dream,Empire Of The Sun
History,One Direction
Wildest Dreams,Taylor Swift
Dibs,Kelsea Ballerini
Out Of The Woods,Taylor Swift
Hollow,Tori Kelly
Look At My Dab,Migos
I Love This Life,LOCASH
Uptown Funk!,Mark Ronson
Break Up In A Small Town,Sam Hunt
On My Mind,Ellie Goulding
Confident,Demi Lovato
Stay A Little Longer,Brothers Osborne
All I Ask,Adele
Good To Be Alive (Hallelujah),Andy Grammer
Bang My Head,David Guetta
Irresistible,Fall Out Boy
Do It Like Me,DLOW
Dessert,Dawin
Watch Me,Silento
Fly S**t Only,Future
Bake Sale,Wiz Khalifa
Die A Happy Man,Nelly
WTF (Where They From),Missy Elliott
Whisper,Chase Rice
The Fix,Nelly
No Role Modelz,J. Cole
Again,Fetty Wap
Big Rings,Drake
Country Nation,Brad Paisley
Back Up,DeJ Loaf
Jam,Kevin Gates
Alive,Sia
Play No Games,Big Sean
I Got The Boy,Jana Kramer
Mr. Misunderstood,Eric Church
Focus,Ariana Grande
Gonna Know We Were Here,Jason Aldean
Emperor's New Clothes,Panic! At The Disco
Bottom Of The Bottle,Curren$Y
Locked Away,R. City
I'll Show You,Justin Bieber
New Americana,Halsey
Death Of A Bachelor,Panic! At The Disco
Lay It All On Me,Rudimental
Right Hand,Drake
Come Get Her,Rae Sremmurd
Lean & Dabb,iLoveMemphis
Ginza,J Balvin
Trap Queen,Fetty Wap
Lazarus,David Bowie
Space Oddity,David Bowie
Under Pressure,Queen
Blackstar,David Bowie
Used To Love You,Gwen Stefani
Gonna,Blake Shelton
RGF Island,Fetty Wap
Blase,Ty Dolla $ign
Where Ya At,Future
Where Are U Now,Skrillex
Downtown,Macklemore
Top Of The World,Tim McGraw
Smoke Break,Carrie Underwood
Hit The Quan,iLoveMemphis
Burning House,Cam
Purpose,Justin Bieber
Liquor,Chris Brown
Stick Talk,Future
The Feeling,Justin Bieber
Zero,Chris Brown
Jugg,Fetty Wap
Hallelujah,Lindsey Stirling
Little More (Royalty),Chris Brown
Mary Did You Know,Jordan Smith
Good For You,Selena Gomez
Cheerleader,OMI
Drag Me Down,One Direction
Burning House,Emily Ann Roberts
Climb Every Mountain,Jordan Smith
Back To Back,Drake
Nothin' Like You,Dan + Shay
Strip It Down,Luke Bryan
God Only Knows,Jordan Smith
Somebody To Love,Jordan Smith
Renegades,X Ambassadors
Mark My Words,Justin Bieber
Already Callin' You Mine,Parmalee
Random,G-Eazy
No Pressure,Justin Bieber
Sorry,Rick Ross
Drifting,G-Eazy
My Way,Fetty Wap
I'm Comin' Over,Chris Young
Photograph,Ed Sheeran
How Deep Is Your Love,Calvin Harris
Hallelujah,Jordan Smith
No Sense,Justin Bieber
I'd Just Love To Lay You Down,Barrett Baber
Daddy,PSY
Girls Just Want To Have Fun,Madi Davis
Let Me See Ya Girl,Cole Swindell
Remedy,Adele
Life Is Worth Living,Justin Bieber
Love Myself,Hailee Steinfeld
Rich $ex,Future
Great Is Thy Faithfulness,Jordan Smith
Break Up With Him,Old Dominion
Children,Justin Bieber
Been You,Justin Bieber
If I Could Fly,One Direction
Olivia,One Direction
We Are,Justin Bieber
Get Used To It,Justin Bieber
A.M.,One Direction
Temporary Fix,One Direction
Trust,Justin Bieber
Never Enough,One Direction
Shut Up And Dance,WALK THE MOON
Thinking Out Loud,Ed Sheeran
Fight Song,Rachel Platten
Writing's On The Wall,Sam Smith
Anything Goes,Florida Georgia Line
Cool For The Summer,Demi Lovato
Comfortable,K Camp
Save It For A Rainy Day,Kenny Chesney
Diamonds Dancing,Drake
Traveller,Chris Stapleton
Halo,Jordan Smith
Hold My Hand,Jess Glynne
Levels,Nick Jonas
Want To Want Me,Jason Derulo
All Eyes On You,Meek Mill
Scholarships,Drake
Digital Dash,Drake
Sugar,Maroon 5
Marvin Gaye,Charlie Puth
Home,One Direction
Used To Love You Sober,Kane Brown
Gonna Wanna Tonight,Chase Rice
Nothing But Trouble (Instagram Models),Lil Wayne
Powerful,Major Lazer
100,The Game
Flex (Ooh Ooh Ooh),Rich Homie Quan
Worth It,Fifth Harmony
Lose My Mind,Brett Eldredge
This Could Be Us,Rae Sremmurd
"John Cougar, John Deere, John 3:16",Keith Urban
Live From The Gutter,Drake
I'm The Plug,Drake
Can't Sleep Love,Pentatonix
Earned It (Fifty Shades Of Grey),The Weeknd
Bad Blood,Taylor Swift
El Perdon (Forgiveness),Nicky Jam
House Party,Sam Hunt
Fly,Maddie
Change Locations,Drake
Love Me,The 1975
Uma Thurman,Fall Out Boy
Planez,Jeremih
Buy Me A Boat,Chris Janson
Plastic Bag,Drake
Jersey,Future
Cecilia And The Satellite,Andrew McMahon In The Wilderness
Ghost Town,Adam Lambert
Hold Each Other,A Great Big World
Infinity,One Direction
Black Magic,Little Mix
30 For 30 Freestyle,Drake
Kick The Dust Up,Luke Bryan
Classic Man,Jidenna
"Honey, I'm Good.",Andy Grammer
Crash And Burn,Thomas Rhett
Runnin' (Lose It All),Naughty Boy
"I Don't Like It, I Love It",Flo Rida
Alright,Kendrick Lamar
R.I.C.O.,Meek Mill
Post To Be,Omarion
Tell Your Friends,The Weeknd
Hell Of A Night,Dustin Lynch
She's Kinda Hot,5 Seconds Of Summer
About You,Trey Songz
Real Life,Jake Owen
Should've Been Us,Tori Kelly
Firestone,Kygo
Loving You Easy,Zac Brown Band
Prisoner,The Weeknd
Dark Times,The Weeknd
Beautiful Now,Zedd
Real Life,The Weeknd
Rotten To The Core,Dove Cameron
Burn Slow,Wiz Khalifa
Do It Again,Pia Mia
One Man Can Change The World,Big Sean
Cheyenne,Jason Derulo
Omen,Disclosure
Shameless,The Weeknd
The Night Is Still Young,Nicki Minaj
Hey Mama,David Guetta
Roots,Imagine Dragons
Losers,The Weeknd
Young & Crazy,Frankie Ballard
Jet Black Heart,5 Seconds Of Summer
B**** Better Have My Money,Rihanna
Love Me Like You Do,Ellie Goulding
Nasty Freestyle,T-Wayne
Straight Outta Compton,N.W.A
Boyz-N-The Hood,Eazy-E
Be Real,Kid Ink
Sangria,Blake Shelton
Kiss You In The Morning,Michael Ray
One Hell Of An Amen,Brantley Gilbert
High By The Beach,Lana Del Rey
I'm To Blame,Kip Moore
Talking Body,Tove Lo
Like A Wrecking Ball,Eric Church
Wet Dreamz,J. Cole
Tonight Looks Good On You,Jason Aldean
Fun,Pitbull
How Many Times,DJ Khaled
Fly Away,5 Seconds Of Summer
You Know You Like It,DJ Snake
If Only,Dove Cameron
Commas,Future
100 Grandkids,Mac Miller
Take Your Time,Sam Hunt
Slow Motion,Trey Songz
Charged Up,Drake
Love You Like That,Canaan Smith
This Summer's Gonna Hurt...,Maroon 5
Crushin' It,Brad Paisley
The Matrimony,Wale
Good Thing,Sage The Gemini
Girl Crush,Little Big Town
Elastic Heart,Sia
Shake It Off,Taylor Swift
No Sleeep,Janet
Fire N Gold,Bea Miller
Love Me Like You Mean It,Kelsea Ballerini
Bright,Echosmith
Kings Never Die,Eminem
